zip;meanVader;meanSyuzhet;MedianIncomePast12Months;LessThanHighSchoolGraduate;HighSchoolGraduate;BachelorsDegreeOrHigher
06514;-0.517333333333333;-1.5;36416;0.0817114093959732;0.28506711409396;0.36996644295302
06516;0.6255;1.25;30113;0.121119703735976;0.392958283411393;0.242647859710271
06519;0.0325;0.1625;19296;0.244224074269438;0.399514716742272;0.128072581495938
06604;-0.057;-0.1;20495;0.236103850845095;0.315211709357031;0.238427135970262
06704;-0.602333333333333;-1.43333333333333;23308;0.240142457389977;0.376049351310099;0.108242177562961
06762;-0.153;0.55;46959;0.0465034349128061;0.197815747754095;0.513299277787564
06791;0;0.8;43635;0.0642875221462921;0.249557074158441;0.367754998734498
06795;0;-0.1;41679;0.0733267716535433;0.26742125984252;0.391830708661417
06801;-0.883;-3.25;43895;0.0531985538257212;0.230281118571534;0.454954622592784
06811;0.751;1;40338;0.0988453070943973;0.262838657501011;0.3924607988498
06812;0.812;2.15;47070;0.0351057277766372;0.234243481831246;0.499486758365839
06824;-0.414;-0.9;50734;0.0299725022914757;0.11237396883593;0.707470210815765
06831;-0.24;0.6;52365;0.0297095911348873;0.169277799006496;0.635651509361865
06870;0;0;77222;0.0186114596403179;0.0700543705562526;0.794228356336261
06880;-0.215;0.75;76598;0.020695495686233;0.0852167469433123;0.778754035886307
06905;0.3185;0.25;49920;0.0686193048054286;0.195056086414624;0.551308683007894
07002;0.0646666666666667;-0.333333333333333;36268;0.114032197843228;0.310755309569304;0.372383650699523
07003;-0.226;-0.75;41783;0.0813524887534465;0.272906689885358;0.415324336090553
07006;0.652;-0.45;54389;0.0437158469945355;0.170546448087432;0.603715846994536
07010;0.516;0.5;40131;0.105019467536567;0.271545827633379;0.428601494264969
07012;-0.183;0.5;36635;0.0829747324285557;0.25675824782081;0.448747655301776
07030;-0.159;-0.25;82393;0.0440694666830891;0.0784825717452888;0.805049882990516
07031;0.623;0;45782;0.088634617026727;0.32934847579199;0.338485184868927
07036;0.405;-1;32332;0.145665191356418;0.329569122624317;0.2274147357459
07042;-0.294;0.075;57039;0.0410125482101146;0.14579825085556;0.635558694117008
07044;0.943;0.7;62736;0.0135855892120358;0.157492200865452;0.640132836872295
07050;0.853;2.05;25817;0.182737092458626;0.340105044098702;0.203498166683183
07052;-0.625;-0.15;45280;0.0729681978798587;0.190194346289753;0.539605418138987
07072;-0.66;-0.75;42140;0.130122517955218;0.281368821292776;0.37283481199831
07077;-0.431;0.1;44098;0.0825;0.305;0.3655
07081;0.129;-0.75;53780;0.0399012424338961;0.195603695444409;0.617792290538388
07083;0;0.4;41971;0.11144193960017;0.301798984161934;0.362724247504191
07093;-0.612;-1.8;27162;0.24712494032895;0.275962331293668;0.312372520939114
07103;-0.137;-0.275;18645;0.223631441748546;0.351263284539803;0.15946460798075
07109;-0.34;-1.1;35788;0.131349576357076;0.33198200024324;0.262780232699558
07110;-0.278333333333333;-1.81666666666667;48977;0.0530398526132066;0.259575293319112;0.477988945990497
07201;-0.2855;-0.5;23410;0.257723577235772;0.366558265582656;0.131111111111111
07304;0.0505714285714286;0.135714285714286;27327;0.158637649912411;0.32064411804339;0.319229214391591
07410;-0.764;-2;53864;0.0474613205491392;0.174634996731314;0.565439093484419
07432;-0.379;0.55;52739;0.0507713337238821;0.275922671353251;0.454989259910174
07446;0.2635;-0.55;73457;0.0213322990400465;0.130127024144284;0.690778628914962
07450;-0.733;-0.45;78819;0.0350364055012757;0.096147862343643;0.759848154832286
07465;-0.925;-0.6;50687;0.0524079320113314;0.29481991096722;0.392553622015378
07470;-0.3735;-0.55;51827;0.0555243670970674;0.227978720560323;0.530114684417355
07481;0.308;-0.25;60875;0.0266490765171504;0.166754617414248;0.6259454705365
07601;0.474;0;39858;0.124165433068487;0.269417842361258;0.394278118485846
07608;0.151;0.1;31875;0.232876712328767;0.479452054794521;0.0273972602739726
07621;0;0;39527;0.0803504245942169;0.243577340642803;0.442706653767602
07648;0;0.4;49766;0.0520956665877338;0.216197016339095;0.552450864314468
07650;-0.34;-1.5;35087;0.117662405426559;0.24960866162275;0.457865901382729
07652;0;0;42247;0.085737925328369;0.210311304167959;0.488054607508532
07666;-0.296;0;46289;0.0620405649847977;0.184620713543471;0.555247661932802
07716;-0.717;-0.2;45478;0.042039641943734;0.173273657289003;0.501438618925831
07719;-0.226;-0.3;45099;0.0523546606040922;0.23910360506658;0.474050016239039
07722;0.601;2;56080;0.0195621797857476;0.118304611085235;0.633597267505046
07726;0;0;49986;0.04417894771392;0.210194636820166;0.512915613614731
07728;-0.5015;-0.35;40411;0.103643216080402;0.256935720268007;0.394603224455611
07731;-0.218;-0.05;45016;0.0489431840217181;0.267248400232693;0.396470816366104
07732;0.361;0.5;39322;0.083059002279058;0.228665484932894;0.334768295771081
07733;0.026;-0.825;53198;0.0485826574128272;0.138138640354545;0.64746216238816
07734;-0.318;-0.75;30122;0.154834905660377;0.380660377358491;0.193278301886792
07748;-0.49;0.75;50101;0.0396440981362536;0.23286300937138;0.489259766241971
07756;0;-0.6;38642;0.0470463388751326;0.121330031835868;0.610894941634241
